tagId,tag
1,pilot
2,aircraft
3,spy
4,agent
5,war
6,bombs
7,vigilante
8,crime-fighter
9,narcotics
10,cop
11,investigation
12,bomber
13,crime
14,fight
15,"espionage "
16,tuxedo
17,sword
18,combat
19,kill
20,training
21,convict
22,cars
23,underground
24,suspense
25,acting
26,kids
27,jungle
28,guns
29,artillery
30,conspiracy
31,hitler
32,love
33,christmas
34,dream
35,friendship
36,"based on true story"
37,failure
38,"open source"
39,linux
40,maths
41,genius
42,boxing
43,hardwork
44,soccer
45,game
46,cricket
47,challenge
48,detective
49,murder
50,killer
51,mysterious
52,horrifying
53,haunted
54,mansion
55,"fairy tale"
56,magical
57,monsters
58,funny
59,mission
60,"secret agents"
61,cats
62,dogs
63,princess
64,teenager
65,ice
66,baby
67,island
68,"sooby doo"
69,treasure
70,alien
71,rescue
72,chase
73,snow
74,"based on book"
75,disney
76,satire
77,sequel
78,"santa claus"
79,"snow mountains"
80,tarzan
81,woods
82,dinosaurs
83,stampede
84,predator
85,"tyrannosaurus rex"
86,"martial arts"
87,"special operations"
88,violence
89,"witness protection"
90,"ninja warrior"
91,commando
